57	279	473
91	223	264
30	228	488
138	301	502
135	165	370
48	93	418
7	278	423
63	449	473
52	253	311
44	77	143
253	254	573
99	257	330
272	352	591
189	416	500
96	142	444
149	163	235
176	279	449
403	487	533
233	267	482
150	200	563
57	119	473
150	352	584
132	174	226
173	320	638
196	357	608
16	296	549
273	434	500
434	531	595
248	523	531
39	118	665
94	561	614
198	455	632
104	234	415
41	188	367
156	157	571
52	84	325
271	274	421
29	245	362
25	174	226
58	170	397
135	370	561
173	198	538
336	469	586
34	255	472
48	93	126
166	208	449
95	449	648
362	455	484
253	347	646
187	371	460
52	84	285
64	79	292
118	168	573
118	573	634
322	497	636
234	312	622
90	306	605
231	240	357
306	307	438
91	405	646
58	257	404
188	514	657
481	532	639
183	241	417
301	313	324
233	502	581
87	362	541
347	495	652
157	195	571
1	459	508
166	328	411
234	312	407
239	268	394
153	218	500
122	186	515
249	305	487
453	537	571
52	285	355
206	403	533
103	168	472
187	330	488
52	106	259
29	111	659
53	91	94
230	478	575
145	281	534
25	212	433
198	343	538
125	525	533
196	401	513
283	312	407
62	251	341
52	68	311
170	187	291
115	152	168
166	328	449
129	228	290
198	388	659
317	367	418
22	253	347
271	451	515
216	273	318
198	343	647
22	347	614
153	318	434
32	60	448
223	264	561
128	429	481
267	502	513
169	341	437
108	240	357
7	48	126
91	94	376
87	549	638
429	431	639
38	145	252
94	215	376
350	367	402
107	126	298
80	288	421
99	330	486
199	470	635
99	330	397
34	234	312
376	561	617
91	94	405
5	170	357
118	268	573
271	378	421
278	280	496
352	374	591
108	240	292
320	444	638
182	185	356
198	234	630
298	367	657
47	338	429
240	357	482
282	349	377
444	484	638
93	367	418
80	421	557
60	141	151
218	273	523
248	318	531
187	371	485
226	403	487
57	102	156
245	362	455
30	187	488
256	300	518
7	48	402
99	196	588
134	170	187
102	266	449
165	376	617
57	181	208
156	473	537
149	441	619
91	376	646
167	189	242
245	446	455
282	367	657
426	518	656
370	544	646
15	66	99
7	27	590
148	184	301
15	99	330
94	405	614
384	393	454
253	573	630
291	292	520
57	453	473
283	407	415
165	614	646
57	295	473
177	508	635
370	561	617
237	272	591
233	267	291
167	216	531
260	454	521
215	376	617
212	220	513
53	94	115
87	362	549
71	77	640
434	500	531
73	185	356
389	561	617
30	187	460
362	388	632
159	367	657
99	170	567
52	68	142
78	193	490
223	379	561
48	159	657
135	215	376
99	170	486
152	396	618
94	376	529
30	58	397
15	99	148
71	143	343
273	419	595
208	279	449
128	366	431
295	449	473
28	403	487
145	378	615
394	573	634
420	629	671
199	402	470
49	57	279
115	168	274
182	382	449
1	340	459
41	367	618
94	215	614
143	343	666
413	468	522
396	418	464
278	298	367
213	445	521
196	513	588
58	190	404
10	440	493
95	254	328
41	171	367
245	455	638
167	189	216
336	358	469
111	265	360
98	100	282
47	431	655
199	427	534
228	301	397
273	419	523
199	427	553
46	47	428
125	533	587
66	187	488
15	58	644
198	296	632
180	237	414
183	311	647
427	517	553
128	429	431
229	421	620
169	573	630
111	455	484
255	283	407
424	454	521
276	340	606
561	614	646
49	164	387
427	517	534
233	292	608
29	484	638
229	440	557
185	279	356
153	216	318
189	218	500
217	440	493
48	317	657
165	389	646
114	167	419
176	182	185
58	257	330
169	341	585
61	382	490
77	143	558
68	80	254
283	312	622
150	374	563
393	445	454
57	102	279
153	416	500
49	156	449
207	293	403
103	222	234
305	403	487
317	396	651
145	378	548
89	386	651
57	279	432
167	189	416
212	588	608
38	110	145
177	201	470
49	57	156
60	151	448
169	254	573
7	278	496
99	170	240
171	367	657
58	397	404
234	498	622
135	376	544
102	156	449
20	352	591
183	282	524
56	371	460
50	234	299
54	258	521
278	280	616
176	317	367
218	273	500
41	188	263
455	484	638
347	370	617
150	352	374
151	265	489
253	347	652
187	404	486
30	138	228
34	312	472
48	89	651
280	528	593
87	245	638
157	295	571
4	89	230
152	610	651
63	432	537
111	245	388
243	495	641
53	69	535
7	27	278
111	320	659
175	342	464
14	206	403
73	162	356
42	445	505
177	427	428
30	58	190
60	151	209
329	384	531
99	146	567
77	143	666
362	444	541
187	371	486
68	142	510
311	417	559
13	213	384
182	449	648
173	198	320
276	534	606
193	339	490
315	364	413
87	541	638
7	278	436
78	463	490
30	187	190
186	285	515
114	153	523
143	624	666
240	292	513
357	608	650
78	193	381
53	352	591
367	386	651
222	472	498
180	237	435
52	169	630
48	93	657
115	234	312
57	208	279
189	318	434
12	254	464
56	99	146
180	237	563
182	185	208
177	427	553
258	424	521
255	472	498
347	393	652
96	101	348
63	157	195
71	143	325
58	170	240
84	250	666
52	227	451
115	234	299
366	431	639
223	376	544
102	166	449
56	190	485
18	296	446
145	173	464
47	338	655
11	12	440
169	342	555
215	370	617
36	382	436
63	89	90
111	455	601
48	317	651
347	614	617
4	89	464
168	299	472
198	538	632
364	477	542
159	396	464
199	355	470
355	470	501
60	265	420
176	181	188
5	138	502
106	259	501
148	301	324
167	273	434
231	240	588
92	184	301
452	575	610
5	138	357
52	285	343
100	183	509
135	215	370
325	558	560
91	223	370
189	216	523
251	341	437
71	72	77
300	426	518
99	170	291
48	60	126
196	502	608
48	263	651
262	367	418
99	190	404
281	360	638
125	331	533
64	482	581
99	170	488
52	71	77
52	253	254
83	157	473
143	398	666
91	223	376
233	502	608
196	502	513
166	185	411
57	63	195
50	234	498
44	142	510
49	185	279
114	189	500
161	440	493
177	340	459
58	134	170
218	500	531
187	301	324
251	341	585
245	388	446
180	237	272
170	187	240
48	317	418
180	206	645
145	230	478
266	328	449
134	146	187
188	367	657
68	74	178
31	269	533
54	393	454
166	185	356
296	519	549
258	384	393
187	257	371
63	157	473
384	509	531
22	253	641
12	149	235
135	347	376
15	58	170
200	563	591
91	135	405
152	171	396
172	420	671
7	109	298
173	320	362
32	60	664
234	407	415
56	99	190
273	419	500
145	271	378
306	438	623
177	340	427
198	647	664
176	449	654
196	231	357
248	500	531
182	356	648
52	68	259
72	77	131
213	383	393
197	508	517
52	254	451
91	376	617
212	513	588
52	84	636
482	513	581
94	376	561
177	340	390
15	187	332
405	544	617
198	245	388
41	152	618
23	464	548
116	213	393
111	245	444
57	156	499
205	410	598
282	559	565
52	71	343
171	262	367
212	502	513
111	388	484
29	245	638
99	240	292
470	501	635
340	427	606
320	446	659
177	201	340
95	254	510
22	347	370
30	187	545
66	99	486
156	157	473
237	563	591
128	481	532
405	614	646
189	248	500
199	508	635
108	196	357
96	101	534
274	421	557
273	416	500
15	148	301
367	386	657
94	379	561
156	537	571
255	472	604
146	187	486
312	407	472
1	340	606
165	370	617
384	531	577
149	163	441
158	301	324
99	134	170
57	156	571
233	267	502
141	471	506
102	382	449
41	93	152
34	234	299
172	173	464
213	384	393
12	25	433
212	292	608
187	397	404
197	408	553
57	156	473
256	633	656
68	74	357
30	99	545
68	74	292
183	311	509
188	278	367
427	470	606
318	434	531
240	401	513
135	165	376
315	413	522
240	588	608
327	389	646
386	491	657
41	93	367
34	234	255
42	445	521
123	512	586
370	544	617
219	275	428
54	213	245
1	201	340
198	296	659
153	434	500
30	99	397
183	241	626
93	152	657
271	451	464
196	482	513
41	367	516
50	104	552
169	230	341
78	82	490
222	299	472
446	538	632
189	434	523
132	174	572
440	493	621
108	240	401
228	290	537
58	146	486
118	634	665
52	259	499
1	470	501
273	318	434
114	189	318
114	153	318
103	234	314
52	71	325
367	546	657
152	171	262
99	240	482
124	230	341
13	258	384
7	27	546
196	220	513
89	342	499
212	502	608
60	448	506
315	364	542
233	357	608
167	189	248
146	337	486
128	338	429
73	102	449
231	240	502
84	497	636
143	325	558
389	561	646
31	269	492
362	444	632
170	187	397
68	74	259
58	146	397
394	634	665
355	501	508
42	174	412
58	138	301
184	301	313
156	449	473
101	348	535
7	278	616
37	212	292
132	226	433
90	306	623
158	228	301
56	99	460
94	389	561
128	338	655
91	389	617
187	301	460
12	440	471
240	513	588
240	482	513
66	99	530
222	234	299
237	414	591
22	165	376
91	389	646
338	366	639
276	517	534
187	330	397
183	311	524
215	327	370
170	212	502
52	355	606
7	48	317
50	312	552
142	388	632
52	169	311
311	349	647
52	169	254
276	470	517
253	359	652
299	407	472
1	199	534
91	370	646
34	283	299
71	77	660
58	330	397
146	187	567
48	188	263
48	159	263
14	357	538
189	218	318
23	175	464
172	185	589
188	396	589
153	218	523
25	226	433
